Amats,Uzņēmums,Darba vietas adrese,Alga bruto,Aktuāla līdz
PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Bauskas novada pašvaldība,"Zemgales iela 9A, Iecava, Bauskas nov.",1240 ,30.12.2023
CEHA STRĀDNIEKS,"SIA ""BALTĀS NAKTIS""","Bērzu iela 14, Baloži, Ķekavas nov.",1373 ,31.01.2024
BŪVSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""Musafir""","Krišjāņa Valdemāra iela 4, Liepāja",1373 - 1400 ,01.01.2024
CEHA STRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""Musafir""","""Avoti"", Nīca, Nīcas pagasts, Dienvidkurzemes novads, LV-3473",1373 - 1400 ,01.01.2024
KVALITĀTES INŽENIERIS,"Valsts akciju sabiedrība ""Latvijas autoceļu uzturētājs""","Krustpils iela 4, Rīga",1800 - 2110 ,03.12.2023
Datu ANALĪTIĶIS,SIA Media Solutions,"Dzirnavu iela 37, Rīga",2186.59 - 2200 ,31.03.2024
INFORMĀCIJAS TEHNOLOĢIJU ADMINISTRATORS,SIA Media Solutions,"Dzirnavu iela 37 - 41, Rīga",1997.08 - 2050 ,31.03.2024
MASIERIS (TREŠĀ LĪMEŅA KVALIFIKĀCIJA),"Sabiedrība ar ierobežotu atbildību ""Veselības centrs Ilūkste""","Daugavpils,ar darba vietu Ilūkstē un Subatē",908 ,22.12.2023
MĀKSLAS TERAPEITS,"Sabiedrība ar ierobežotu atbildību ""Veselības centrs Ilūkste""","Daugavpils,ar darba vietu Ilūkstē un Subatē",1032 - 1369 ,22.12.2023
Klīniskais un veselības PSIHOLOGS,"Sabiedrība ar ierobežotu atbildību ""Veselības centrs Ilūkste""","Daugavpils,ar darba vietu Ilūkstē un Subatē",967 ,22.12.2023
VIESMĪLIS,"Sabiedrība ar ierobežotu atbildību ""ROTA IG""","Liepājas iela 36, Kuldīga, Kuldīgas nov.",650 - 700 ,30.11.2023
CEHA STRĀDNIEKS,"SIA ""SIGULDAS MAIZNIEKS""","Mālpils iela 4, Sigulda, Siguldas nov.",880 ,10.12.2023
PROGRAMMĒTĀJS,"AS ""Printful Latvia""","Raiņa bulvāris 25, Rīga",3500 - 4000 ,23.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"Sabiedrība ar ierobežotu atbildību ""Smarttec""","Rēzekne,darbs Eiropa, Krievija",2100 - 2840 ,20.12.2023
IESLODZĪJUMA VIETAS UZRAUGS,Ieslodzījuma vietu pārvalde,"Dzirnavu iela 32, Valmiermuiža, Valmieras pag., Valmieras nov.",990 - 1110 ,31.12.2023
FIZIOTERAPEITS,"""Latvijas Samariešu apvienība""","Garozes iela 15, Rīga",1320 ,31.12.2023
APRŪPĒTĀJS,"""Latvijas Samariešu apvienība""","Garozes iela 15, Rīga",4.32 ,31.12.2023
APRŪPĒTĀJS,"""Latvijas Samariešu apvienība""","Garozes iela 15, Rīga",4.32 ,31.12.2023
BĀRMENIS,"SIA ""APL Restaurants RP""","Mūkusalas iela 71, Rīga",5 - 6 ,22.12.2023
VIESMĪLIS,"SIA ""APL Restaurants""","Maskavas iela 257, Rīga",4.5 - 5.5 ,22.12.2023
